model_id,name,sheets,difficulty,difficulty_num,category
MMS066,Fokker Dr.1 Triplane,1,Moderate,5,Aviation
MMS067,Westminster Abbey,1,Moderate,5,Architecture
MMS068,Boeing 737,1,Moderate,5,Aviation
MMS069,Boeing 777,1,Moderate,5,Aviation
MMS070,Boeing 767,1,Moderate,5,Aviation
MMS071,B-2 Spirit,2,Challenging,7,Aviation
MMS072,E-2C Hawkeye,1,Moderate,5,Aviation
MMS073,P-51 Mustang,1,Moderate,5,Aviation
MMS074,UH-60 Black Hawk,2,Challenging,7,Aviation
MMS075,CH-53E Super Stallion,2,Challenging,7,Aviation
MMS076,F4U Corsair,1,Moderate,5,Aviation
MMS076S,Space Shuttle Discovery,2,Challenging,7,Space
MMS077,Spitfire,1,Moderate,5,Aviation
MMS078,B-17 Flying Fortress,1,Challenging,7,Aviation
MMS079,F-14 Tomcat,1,Moderate,5,Aviation
MMS080,Hummingbird,1,Moderate,5,Wildlife
MMS081,S-76,2,Challenging,7,Aviation
MMS082,Monarch Butterfly,1,Moderate,5,Wildlife
MMS083,Dragonfly,1,Moderate,5,Wildlife
MMS084,Scorpion,1,Moderate,5,Wildlife
MMS085,Tarantula,1,Moderate,5,Wildlife
MMS086,Windmill,1,Easy,2,Architecture
MMS087,Lighthouse,1,Easy,2,Architecture
MMS088,Covered Bridge,1,Easy,2,Architecture
MMS089,Parrot,1,Easy,2,Wildlife
MMS090,Owl,1,Moderate,5,Wildlife
MMS091,Toucan,1,Easy,2,Wildlife
MMS092,Pelican,1,Moderate,5,Wildlife
MMS093,Crocodile,1,Moderate,5,Wildlife
MMS094,Sea Turtle,1.5,Moderate,5,Wildlife
MMS095,Octopus,1.5,Challenging,7,Wildlife
MMS096,F-35 Lightning II,2,Challenging,7,Aviation
MMS097,F-117A Nighthawk,2,Challenging,7,Aviation
MMS098,Cessna 172 Skyhawk,1,Moderate,5,Aviation
MMS099,Cessna Citation X,1,Moderate,5,Aviation
MMS100,P-38 Lightning,1,Moderate,5,Aviation
MMS101,F-117 Nighthawk,1,Moderate,5,Aviation
MMS102,SR-71 Blackbird,1,Moderate,5,Aviation
MMS103,A-10 Warthog,1,Moderate,5,Aviation
MMS104,Alcatraz,1,Moderate,5,Architecture
MMS105,Independence Hall,1,Moderate,5,Architecture
MMS106,Smithsonian Castle,1,Moderate,5,Architecture
MMS107,Mount Rushmore,1,Easy,2,Architecture
MMS108,Pentagon,1.5,Moderate,5,Architecture
MMS109,Moose,2,Moderate,5,Wildlife
MMS110,Curtiss P-40,1,Moderate,5,Aviation
MMS111,TBF Avenger,1,Moderate,5,Aviation
MMS112,SBD Dauntless,1,Moderate,5,Aviation
MMS113,F4F Wildcat,1,Moderate,5,Aviation
MMS114,B-29 Superfortress,2,Challenging,7,Aviation
MMS115,Avro Lancaster,2,Challenging,7,Aviation
MMS116,Messerschmitt Bf 109,1,Moderate,5,Aviation
MMS117,Junkers Ju 87 Stuka,1,Moderate,5,Aviation
MMS118,Heinkel He 111,2,Challenging,7,Aviation
MMS119,P-40 Warhawk,1,Moderate,5,Aviation
MMS120,Hawker Hurricane,1,Moderate,5,Aviation
MMS121,Douglas DC-3,2,Challenging,7,Aviation
MMS123,B-21 Raider,2,Challenging,7,Aviation
MMS124,X-47B,1,Moderate,5,Aviation
MMS125,RQ-4 Global Hawk,1,Moderate,5,Aviation
MMS126,Bull,1.5,Moderate,5,Wildlife
MMS127,Boeing 777X,2,Challenging,7,Aviation
MMS128,Boeing 747-8,2,Challenging,7,Aviation
MMS129,Boeing 787-9,2,Challenging,7,Aviation
MMS130,Boeing KC-135 Stratotanker,2,Challenging,7,Aviation
MMS131,Boeing AH-64 Apache,2,Challenging,7,Aviation
MMS132,Boeing CH-47 Chinook,2,Challenging,7,Aviation
MMS133,Boeing P-8 Poseidon,2,Challenging,7,Aviation
MMS134,Mandrill,1.5,Moderate,5,Wildlife
MMS135,Elephant Seal,1.5,Moderate,5,Wildlife
MMS136,Hammerhead Shark,1.5,Moderate,5,Wildlife
MMS137,Manta Ray,1,Moderate,5,Wildlife
MMS138,Seahorse,1,Easy,2,Wildlife
MMS139,Jellyfish,1,Easy,2,Wildlife
MMS140,Lobster,1.5,Moderate,5,Wildlife
MMS141,Crab,1,Moderate,5,Wildlife
MMS142,Frog,1,Easy,2,Wildlife
MMS143,Chameleon,1,Moderate,5,Wildlife
MMS144,Iguana,1.5,Moderate,5,Wildlife
MMS145,King Cobra,1.5,Moderate,5,Wildlife
MMS146,Python,1.5,Moderate,5,Wildlife
MMS147,Hedgehog,1,Easy,2,Wildlife
MMS148,Red Fox,1.5,Moderate,5,Wildlife
MMS149,Deer,1.5,Moderate,5,Wildlife
MMS150,Ram,1.5,Moderate,5,Wildlife
MMS151,Locomotive,2,Moderate,5,Vehicles
MMS152,Steam Engine,1.5,Moderate,5,Vehicles
MMS153,Tractor,1,Easy,2,Vehicles
MMS154,Motorcycle,1,Moderate,5,Vehicles
MMS155,Fire Truck,1.5,Moderate,5,Vehicles
MMS156,Police Car,1,Easy,2,Vehicles
MMS157,Ambulance,1,Easy,2,Vehicles
MMS158,Semi Truck,1.5,Moderate,5,Vehicles
MMS159,Monster Truck,1,Easy,2,Vehicles
MMS160,Dune Buggy,1,Easy,2,Vehicles
MMS161,Go Kart,1,Easy,2,Vehicles
MMS162,Dragster,1,Moderate,5,Vehicles
MMS163,Formula One Car,1.5,Moderate,5,Vehicles
MMS164,Indy Car,1.5,Moderate,5,Vehicles
MMS165,Space Shuttle Atlantis,2,Challenging,7,Space
MMS166,Space Shuttle Challenger,2,Challenging,7,Space
MMS167,Apollo Lunar Module,1.5,Moderate,5,Space
MMS168,Saturn V,2,Challenging,7,Space
MMS170,Hubble Space Telescope,2,Moderate,5,Space
MMS172,Mars Rover Curiosity,2,Challenging,7,Space
MMS173,Voyager 1,2,Moderate,5,Space
MMS174,Cassini,2,Moderate,5,Space
MMS175,New Horizons,1,Easy,2,Space
MMS176,Parker Solar Probe,1,Easy,2,Space
MMS177,Orion Spacecraft,1.5,Moderate,5,Space
MMS178,Lunar Gateway,2,Challenging,7,Space
MMS179,James Webb Space Telescope,2.5,Challenging,7,Space
MMS180,SpaceX Dragon,1.5,Moderate,5,Space
MMS181,Boeing Starliner,1.5,Moderate,5,Space
MMS183,USPS LLV Mail Truck,1,Easy,2,Vehicles
MMS184,Garbage Truck,1,Easy,2,Vehicles
MMS185,School Bus,1,Easy,2,Vehicles
MMS186,Jeep Wrangler,1.5,Moderate,5,Vehicles
MMS187,Humvee,1.5,Moderate,5,Vehicles
MMS188,Land Rover Defender,1.5,Moderate,5,Vehicles
MMS189,Ford F-150,1.5,Moderate,5,Vehicles
MMS190,1965 Ford Mustang (Ford Licensed),1,Easy,2,Vehicles
MMS191,1956 Ford F-100,1.5,Moderate,5,Vehicles
MMS192,Ford GT,1.5,Moderate,5,Vehicles
MMS193,Ford Bronco,1.5,Moderate,5,Vehicles
MMS194,Corvette C8,1.5,Moderate,5,Vehicles
MMS195,1957 Chevy Bel Air (GM Licensed),1,Easy,2,Vehicles
MMS196,Chevy Camaro ZL1,1.5,Moderate,5,Vehicles
MMS197,Kawasaki Ninja H2R,1.5,Moderate,5,Vehicles
MMS198,Kawasaki KX450,1.5,Challenging,7,Vehicles
MMS199,Freightliner Cascadia,2,Moderate,5,Vehicles
MMS200,Freightliner 114SD,2,Moderate,5,Vehicles
MMS201,Wild West 4-4-0 Locomotive,4,Challenging,7,Vehicles
MMS202,Steam Locomotive #844,2,Moderate,5,Vehicles
MMS203,Tiger I,2,Challenging,7,Tanks
MMS204,M1A2 Abrams,2,Moderate,5,Tanks
MMS205,T-34,2,Moderate,5,Tanks
MMS206,Panzer IV,2,Challenging,7,Tanks
MMS207,M4 Sherman,2,Moderate,5,Tanks
MMS208,Churchill Infantry Tank,2,Challenging,7,Tanks
MMS209,Russian T-72 Tank,2,Challenging,7,Tanks
MMS210,German Tiger II,2.5,Challenging,7,Tanks
MMS211,Leopard 2,2,Moderate,5,Tanks
MMS212,M3 Stuart,1.5,Moderate,5,Tanks
MMS213,IS-2 Stalin,2,Challenging,7,Tanks
MMS214,Medieval Knight,1.5,Moderate,5,Armor Series
MMS215,Samurai Warrior,1.5,Challenging,7,Armor Series
MMS216,Roman Legionary,1.5,Moderate,5,Armor Series
MMS217,Viking Warrior,1.5,Moderate,5,Armor Series
MMS218,John Deere 9RX Tractor,2,Moderate,5,Construction
MMS219,Cat D11 Dozer,2,Moderate,5,Construction
MMS220,Cat 390F Excavator,2,Challenging,7,Construction
MMS221,Tower Crane,2.5,Challenging,7,Construction
MMS222,Dump Truck,1.5,Moderate,5,Construction
MMS223,Cement Mixer,1,Easy,2,Construction
MMS224,Forklift,1,Easy,2,Construction
MMS225,Bulldozer,1.5,Moderate,5,Construction
MMS226,Backhoe,1.5,Moderate,5,Construction
MMS227,Roller,1,Easy,2,Construction
MMS228,Skid Steer Loader,1,Easy,2,Construction
MMS229,Dragon,2,Challenging,7,Mythical & Fantasy
MMS230,Unicorn,1.5,Moderate,5,Mythical & Fantasy
MMS231,Phoenix,2,Challenging,7,Mythical & Fantasy
MMS232,Pegasus,2,Challenging,7,Mythical & Fantasy
MMS233,Griffin,2,Challenging,7,Mythical & Fantasy
MMS234,Kraken,2,Challenging,7,Mythical & Fantasy
MMS235,Medusa,1.5,Challenging,7,Mythical & Fantasy
MMS236,Minotaur,2,Challenging,7,Mythical & Fantasy
MMS237,Cyclops,1.5,Moderate,5,Mythical & Fantasy
MMS238,Grim Reaper,1.5,Moderate,5,Mythical & Fantasy
MMS239,Vampire,1.5,Moderate,5,Mythical & Fantasy
MMS240,Werewolf,1.5,Moderate,5,Mythical & Fantasy
MMS241,Witch on Broomstick,1,Easy,2,Mythical & Fantasy
MMS242,T-Rex,1.5,Moderate,5,Dinosaurs
MMS243,Triceratops,1.5,Moderate,5,Dinosaurs
MMS244,Velociraptor,1.5,Moderate,5,Dinosaurs
MMS245,Stegosaurus,1.5,Moderate,5,Dinosaurs
MMS246,Ankylosaurus,1.5,Moderate,5,Dinosaurs
MMS247,Brachiosaurus,1.5,Moderate,5,Dinosaurs
MMS248,Pterodactyl,1,Moderate,5,Dinosaurs
MMS249,Spinosaurus,2,Moderate,5,Dinosaurs
MMS250,Dilophosaurus,1.5,Moderate,5,Dinosaurs
MMS251,Parasaurolophus,1.5,Moderate,5,Dinosaurs
MMS251SW,Millennium Falcon,2,Challenging,7,Star Wars
MMS252,Pachycephalosaurus,1,Moderate,5,Dinosaurs
MMS253,Iguanodon,1.5,Moderate,5,Dinosaurs
MMS254,Carnotaurus,1.5,Moderate,5,Dinosaurs
MMS255,Acoustic Guitar,1,Moderate,5,Musical
MMS256,Electric Guitar,1,Moderate,5,Musical
MMS257,Violin,1,Moderate,5,Musical
MMS257SW,X-Wing Starfighter,1,Moderate,5,Star Wars
MMS258,Cello,1.5,Challenging,7,Musical
MMS258SW,TIE Fighter,1,Moderate,5,Star Wars
MMS259,Drum Set,2,Challenging,7,Musical
MMS259SW,AT-AT Walker,1.5,Moderate,5,Star Wars
MMS260,Saxophone,1,Moderate,5,Musical
MMS260SW,R2-D2,1,Easy,2,Star Wars
MMS261,French Horn,1,Challenging,7,Musical
MMS261SW,C-3PO,1,Moderate,5,Star Wars
MMS262,Trombone,1,Moderate,5,Musical
MMS262SW,Death Star,2,Challenging,7,Star Wars
MMS263,Tuba,1.5,Moderate,5,Musical
MMS263SW,Darth Vader's TIE Fighter,1,Moderate,5,Star Wars
MMS264,Baseball,1,Easy,2,Sports & Hobbies
MMS264SW,Imperial Star Destroyer,2,Challenging,7,Star Wars
MMS265,Football Helmet,1.5,Moderate,5,Sports & Hobbies
MMS265SW,Y-Wing Starfighter,1.5,Moderate,5,Star Wars
MMS266,Basketball,1,Easy,2,Sports & Hobbies
MMS266SW,Snow Speeder,1,Moderate,5,Star Wars
MMS267,Soccer Ball,1,Easy,2,Sports & Hobbies
MMS267SW,BB-8,1,Easy,2,Star Wars
MMS268,Tennis Racket,1,Easy,2,Sports & Hobbies
MMS268SW,TIE Silencer,1.5,Moderate,5,Star Wars
MMS269,Golf Cart,1.5,Moderate,5,Sports & Hobbies
MMS269SW,Kylo Ren's TIE Silencer,1.5,Moderate,5,Star Wars
MMS270,Race Car,1,Moderate,5,Sports & Hobbies
MMS271,Bicycle,1,Moderate,5,Sports & Hobbies
MMS272,Motorcycle (Chopper),1.5,Moderate,5,Sports & Hobbies
MMS273,Harley-Davidson,1.5,Moderate,5,Sports & Hobbies
MMS274,Covered Wagon,1,Easy,2,American Frontier
MMS275,Pony Express Rider,1,Moderate,5,American Frontier
MMS276,Native American Tepee,1,Easy,2,American Frontier
MMS277,Wells Fargo Stagecoach,1.5,Moderate,5,American Frontier
MMS278,Colt Revolver,1,Moderate,5,American Frontier
MMS279,Winchester Rifle,1,Moderate,5,American Frontier
MMS280,Windmill (West),1,Easy,2,American Frontier
MMS282,Titanic,2,Challenging,7,Ships
MMS283,USS Arizona,2,Challenging,7,Ships
MMS284,USS Missouri,2,Challenging,7,Ships
MMS285,USS Enterprise CVN-65,3,Expert,9,Ships
MMS286,HMS Endeavour,2,Challenging,7,Ships
MMS287,Mayflower,2,Challenging,7,Ships
MMS288,Santa Maria,2,Moderate,5,Ships
MMS289,USS Constitution,2,Challenging,7,Ships
MMS290,Black Pearl,2.5,Challenging,7,Ships
MMS291,RMS Queen Mary,2,Moderate,5,Ships
MMS292,USS Iowa,2,Challenging,7,Ships
MMS293,Viking Ship,1,Moderate,5,Ships
MMS294,SS Edmund Fitzgerald,2,Moderate,5,Ships
MMS295,US Coast Guard Cutter Eagle,2,Challenging,7,Ships
MMS296,Bismarck,2,Challenging,7,Ships
MMS297,Yamato,2.5,Expert,9,Ships
MMS298,Submarine 007,1.5,Moderate,5,Ships
MMS299,Aircraft Carrier,2,Challenging,7,Ships
MMS300,Oil Tanker,1.5,Moderate,5,Ships
MMS301,Container Ship,1.5,Moderate,5,Ships
MMS302,Lifeboat,1,Easy,2,Ships
MMS303,Christmas Tree,1,Easy,2,Seasonal
MMS304,Snowflake,1,Easy,2,Seasonal
MMS305,Jack-o-Lantern,1,Easy,2,Seasonal
MMS306,Santa's Sleigh,1.5,Moderate,5,Seasonal
MMS307,Reindeer,1,Easy,2,Seasonal
MMS308,Snowman,1,Easy,2,Seasonal
MMS325,Iron Man,1.5,Moderate,5,Marvel
MMS326,Iron Man Mark XLVII,2,Challenging,7,Marvel
MMS327,Iron Man Mark L,2.5,Challenging,7,Marvel
MMS328,Hulkbuster,3,Expert,9,Marvel
MMS329,Captain America,1,Easy,2,Marvel
MMS330,Thor,1.5,Moderate,5,Marvel
MMS331,Mjolnir,1,Moderate,5,Marvel
MMS332,Black Panther,1.5,Moderate,5,Marvel
MMS333,Spider-Man,1.5,Moderate,5,Marvel
MMS334,Thanos,2,Challenging,7,Marvel
MMS335,Infinity Gauntlet,1.5,Challenging,7,Marvel
MMS336,Groot,1.5,Moderate,5,Marvel
MMS337,Rocket Raccoon,1,Easy,2,Marvel
MMS338,Ant-Man,1.5,Moderate,5,Marvel
MMS339,Black Widow,1.5,Moderate,5,Marvel
MMS340,Hawkeye,1.5,Moderate,5,Marvel
MMS341,Hogwarts Castle,3,Challenging,7,Harry Potter
MMS342,Hogwarts Express,2,Moderate,5,Harry Potter
MMS343,Hedwig,1,Easy,2,Harry Potter
MMS344,Golden Snitch,1,Easy,2,Harry Potter
MMS345,Nimbus 2000,1,Moderate,5,Harry Potter
MMS346,Harry Potter,1.5,Moderate,5,Harry Potter
MMS347,Dumbledore,1.5,Moderate,5,Harry Potter
MMS348,Dobby,1.5,Moderate,5,Harry Potter
MMS349,Diagon Alley (Gringotts Bank),2,Challenging,7,Harry Potter
MMS350,Hungarian Horntail Dragon,2,Challenging,7,Harry Potter
MMS351,Rivendell,2.5,Challenging,7,LOTR
MMS352,Bag End,2,Moderate,5,LOTR
MMS353,Orthanc (Isengard),2,Challenging,7,LOTR
MMS354,Barad-dur,2.5,Challenging,7,LOTR
MMS355,The One Ring,1,Moderate,5,LOTR
MMS356,Gandalf,1.5,Moderate,5,LOTR
MMS357,Balrog,2,Challenging,7,LOTR
MMS358,Sauron,2.5,Challenging,7,LOTR
MMS359,Sting (Sword),1,Moderate,5,LOTR
MMS360,Iron Throne,2,Challenging,7,Game of Thrones
MMS361,Daenerys' Dragon,2,Challenging,7,Game of Thrones
MMS362,Castle Black,2,Challenging,7,Game of Thrones
MMS363,The Wall,2,Moderate,5,Game of Thrones
MMS363B,Batmobile,2,Moderate,5,Batman
MMS364,Batman,1.5,Moderate,5,Batman
MMS365,Bat-Signal,1,Moderate,5,Batman
MMS366,Gotham City,2,Challenging,7,Batman
MMS367,Optimus Prime,2,Challenging,7,Transformers
MMS368,Bumblebee,1.5,Moderate,5,Transformers
MMS369,Megatron,2,Challenging,7,Transformers
MMS370,TARDIS,1,Easy,2,Doctor Who
MMS371,Dalek,1.5,Moderate,5,Doctor Who
MMS372,K-9,1,Easy,2,Doctor Who
MMS373,Cyberman,1.5,Moderate,5,Doctor Who
MMS414,The Child (Baby Yoda),1,Easy,2,Star Wars
MMS415,The Mandalorian & The Child,1.5,Moderate,5,Star Wars
MMS416,Razor Crest,2.5,Challenging,7,Star Wars
MMS417,Boba Fett's Starship,2,Moderate,5,Star Wars
MMS418,Grogu with Pram,1.5,Moderate,5,Star Wars
MMS419,Darth Vader,1.5,Moderate,5,Star Wars
MMS420,Luke Skywalker (Jedi Knight),1.5,Moderate,5,Star Wars
MMS421,Princess Leia,1,Easy,2,Star Wars
MMS422,Han Solo & Greedo,1.5,Moderate,5,Star Wars
MMS423,Obi-Wan Kenobi,1,Easy,2,Star Wars
MMS424,Chewbacca,1.5,Moderate,5,Star Wars
MMS425,Stormtrooper,1,Moderate,5,Star Wars
MMS426,Boba Fett,1.5,Moderate,5,Star Wars
MMS427,AT-ST Walker,1.5,Moderate,5,Star Wars
MMS428,Speeder Bike,1.5,Moderate,5,Star Wars
MMS429,Jawa Sandcrawler,2,Challenging,7,Star Wars
PS2010,1962 World's Fair Space Needle,2,Moderate,5,Architecture
PS2012,Steel Dragon,3.5,Challenging,7,Mythical & Fantasy
PS2013,Golden Gate Bridge,2.5,Moderate,5,Architecture
PS2015,Kawasaki KX450 (Premium),2.5,Challenging,7,Vehicles
PS2016,Apollo 11 Astronaut,2.5,Challenging,7,Space
PS2017,American Bald Eagle,2.5,Moderate,5,Premium
PS2018,Brooklyn Bridge,3,Challenging,7,Architecture
PS2019,Space Launch System (Artemis),3.5,Challenging,7,Space
PS2020,Cyber Wolf,2.5,Moderate,5,Mythical & Fantasy
PS2021,Greek Trireme,2.5,Expert,9,Ships
PS2022,HMS Victory,3.5,Challenging,7,Ships
PS2023,USS Nautilus,3,Challenging,7,Ships
PS2024,M4 Sherman,3.25,Moderate,5,Tanks
PS2026,Vintage Diving Suit,2.5,Moderate,5,Premium
PS2027,Blue Angels C-130 Hercules,3,Moderate,5,Aviation
PS2028,Concorde,2,Moderate,5,Aviation
